,smiles,cid,bitter,bitter_prob,non_bitter_prob,sweet,sweet_prob,non_sweet_prob
9763,C(C1C(C(C(O1)(CO)O)O)O)O.C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O,121318876.0,False,1.1260845833234103e-05,0.9999887391541668,False,0.10505660606760055,0.8949433939323994
9764,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.O.O.[Na],46942257.0,False,5.177342553917095e-05,0.9999482265744608,True,0.5298993948760853,0.4701006051239147
9765,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,46782906.0,False,0.0014853878870473367,0.9985146121129527,False,0.09314359360082758,0.9068564063991724
9766,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Ag+],49769997.0,False,0.18340603690999321,0.8165939630900068,False,0.005205881030718201,0.9947941189692818
9767,CC.C1=CC=C2C(=C1)C(=O)NS2(=O)=O,54189935.0,False,0.0003011842970543366,0.9996988157029456,False,0.0945874284595186,0.9054125715404814
9768,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)S,54274762.0,False,0.1918899855122335,0.8081100144877665,False,0.0020553050059911103,0.9979446949940088
9769,C1=CC=C2C(=C1)C(=O)[NH2+]S2(=O)=O,57895777.0,False,0.018127201287662133,0.9818727987123379,False,0.46011866808226526,0.5398813319177347
9770,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.O.[W],58773017.0,True,0.9999920672345302,7.932765469842451e-06,False,4.055455905562347e-06,0.9999959445440945
9771,[CH3-].C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[W+2],58773019.0,True,0.9999938079144571,6.192085542866543e-06,False,1.0797704166375957e-05,0.9999892022958337
9772,B(C1=CC2=C(C=C1)S(=O)(=O)NC2=O)(O)O,59862514.0,True,0.9926337700154668,0.007366229984533179,False,0.007722192234692328,0.9922778077653077
9773,[Li].C1=CC=C2C(=C1)C(=O)NS2(=O)=O,66664772.0,False,0.00019913303392544654,0.9998008669660745,True,0.8299516048166995,0.1700483951833005
9774,C1=CC2=C(C(=C1)F)S(=O)(=O)NC2=O,67043323.0,False,0.0031196269100531087,0.9968803730899469,False,0.2611495303973478,0.7388504696026522
9775,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)[Si],67158675.0,False,0.12809709407388223,0.8719029059261177,False,0.000278235084592772,0.9997217649154072
9776,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Pd],86630495.0,False,0.04485043806249689,0.9551495619375031,False,0.004263494495371087,0.9957365055046289
9777,C1=CC2=C(C=C1F)C(=O)NS2(=O)=O,12128377.0,False,0.023317216003023652,0.9766827839969764,True,0.8769424571075055,0.12305754289249449
9778,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.O.[Na],45157476.0,False,8.607055966432952e-05,0.9999139294403356,True,0.6846710882854327,0.31532891171456734
9779,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Zn+2],54599001.0,False,0.000572222871509384,0.9994277771284906,False,0.016549578086412685,0.9834504219135873
9780,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Mn],54604234.0,False,0.00011008865068904902,0.9998899113493109,False,0.03219345849263248,0.9678065415073676
9781,C1=CC=C2C(=C1)C(=O)NS2([O-])[O-],57488722.0,False,0.001135309163614774,0.9988646908363852,False,0.04956570985909529,0.9504342901409047
9782,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Po],60204187.0,True,0.9999999999832296,1.677036287617284e-11,False,1.8945791318554953e-06,0.9999981054208682
9783,C1=CC=C2C(=C1)C(=O)NS2(=O)=S,60209767.0,False,0.0016268709165498203,0.9983731290834502,True,0.8009868404351002,0.19901315956489984
9784,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Ca],66584623.0,False,0.00020543767705081154,0.9997945623229492,True,0.640796379482335,0.35920362051766497
9785,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[K],66632889.0,False,1.2228142832161836e-07,0.9999998777185717,False,0.22733290699851638,0.7726670930014836
9786,C.C1=CC=C2C(=C1)C(=O)NS2(=O)=O,66647037.0,False,0.00011505488280072251,0.9998849451171993,False,0.015984265465950314,0.9840157345340497
9787,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.OS(=O)(=O)O,66647205.0,False,0.0445570659475207,0.9554429340524793,False,0.4878253124425776,0.5121746875574225
9788,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Fe],66685750.0,False,0.00013881360048059185,0.9998611863995194,False,0.026177097654634187,0.9738229023453658
9789,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Si],67158674.0,False,0.0010571576512728928,0.9989428423487271,False,0.021527314720152606,0.9784726852798474
9790,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Zn],67439073.0,False,0.0002251498046738558,0.9997748501953262,False,0.015809965125083345,0.9841900348749166
9791,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Mg],67439541.0,False,0.0005236358768332818,0.9994763641231668,False,0.06846937612718705,0.9315306238728129
9792,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.N=[N+]=[N-],67513574.0,False,0.24311625212373655,0.7568837478762634,False,0.004653614412714142,0.9953463855872858
9793,C1=CC2=C(C=C1I)S(=O)(=O)NC2=O,67666554.0,True,0.999701942169756,0.0002980578302439474,False,8.272329021309813e-05,0.9999172767097869
9794,C=O.C1=CC=C2C(=C1)C(=O)NS2(=O)=O,67731040.0,False,0.0018533904994653698,0.9981466095005346,False,0.10323902499393078,0.8967609750060692
9795,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.Cl,68701879.0,False,0.0010172469677021878,0.9989827530322978,False,0.011497971980510434,0.9885020280194896
9796,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Na].[Na],69118459.0,False,2.4348995694400457e-06,0.9999975651004306,True,0.6931797466879005,0.3068202533120995
9797,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.O([Si])[Si],69164661.0,False,0.06095875044442399,0.939041249555576,False,0.006484356201938465,0.9935156437980616
9798,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.S,69430985.0,False,0.0015598113298486071,0.9984401886701514,False,0.013620712325621976,0.986379287674378
9799,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.Br,70385441.0,False,0.4670057003991481,0.5329942996008519,False,0.0028096685071790084,0.997190331492821
9800,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.F,70393490.0,False,0.0003790020884291716,0.9996209979115708,False,0.015840707454870855,0.9841592925451291
9801,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Al],70394651.0,False,0.0009719400223811669,0.9990280599776188,False,0.036896727773921924,0.963103272226078
9802,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.C(=O)(N)N,70570227.0,False,0.022722925830531485,0.9772770741694685,False,0.020114050701225947,0.979885949298774
9803,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.O.[Ca],71308405.0,False,0.000125957361135692,0.9998740426388643,True,0.5218207605337101,0.47817923946628993
9804,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Pb],87090105.0,True,0.9999999999565727,4.34272617866327e-11,False,4.472860416440232e-06,0.9999955271395835
9805,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Ag],87644708.0,False,0.04306116333859091,0.9569388366614091,False,0.004933919059958266,0.9950660809400418
9806,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.C(=N)=O,87783907.0,False,0.014648882376891798,0.9853511176231082,False,0.1235622280344445,0.8764377719655555
9807,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Ba],88300523.0,False,1.2839283326953038e-05,0.999987160716673,False,0.0034799819570975987,0.9965200180429024
9808,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Ni],88390161.0,False,0.00026351524621693,0.9997364847537831,False,0.020585317694731375,0.9794146823052686
9809,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Ge],88485602.0,False,0.022896812945797575,0.9771031870542024,False,0.0129850299294313,0.9870149700705687
9810,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Bi],88605223.0,True,0.999999999974104,2.5895952049381776e-11,False,3.202735244487937e-06,0.9999967972647555
9811,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Cd],91984012.0,False,0.017215792024884546,0.9827842079751155,False,0.0033902690105207817,0.9966097309894792
