,mols_bitswet,T_F,bitswet_smiles,id,cid
25,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3300>,False,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],b_56,2265.0
26,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A38A0>,False,C1=CC=C(C=C1)C(=O)N,b_57,2331.0
27,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3CB0>,False,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)N)N)N)/N)Cl,b_59,9552079.0
28,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3940>,False,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,b_60,2725.0
29,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3D00>,False,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,b_61,3100.0
30,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3B20>,False,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,b_62,3055.0
31,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3D50>,False,C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,b_63,700999.0
32,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3A80>,False,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,b_65,3371.0
33,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3990>,False,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,b_66,3559.0
34,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A38F0>,False,C1=CC=C(C=C1)C(=O)[O-].[Na+],b_67,517055.0
35,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A39E0>,False,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,b_68,1130.0
36,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3AD0>,False,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],b_69,5959.0
37,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3B70>,False,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,b_70,8969.0
38,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3DA0>,False,C=C[C@@H]1[C@@H]2CCOC(=O)C2=CO[C@H]1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)OC(=O)C4=C(C=C(C=C4C5=CC(=CC=C5)O)O)O,b_71,115149.0
39,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3A30>,False,CCC(C)C(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,b_72,185635.0
40,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3BC0>,False,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,b_73,196915.0
41,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3030>,False,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,b_74,373677.0
42,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3C10>,False,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)OC)O)C,b_75,513197.0
43,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651580>,False,CC(=CCC1=C(C=C(C(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)O)C,b_76,639665.0
44,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651850>,False,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,b_77,5360696.0
45,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651800>,False,[11C](#N)[S-].[Na+],b_78,10866255.0
46,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651940>,False,CC(C)CC(=O)C1=C([C@@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,b_79,11175902.0
47,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651E40>,False,CC(C)C(=O)C1=C([C@@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,b_80,44201359.0
48,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6516C0>,False,CCC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,b_81,9909740.0
49,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651C10>,False,CC(C)C(=O)C1=C([C@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,b_82,58473841.0
