,smiles,cid,bitter,bitter_prob,non_bitter_prob,sweet,sweet_prob,non_sweet_prob
895,[H][C@](N)(CCC(N)=O)C(=O)N[C@@]([H])(CC(C)C)C(=O)N[C@@]([H])(Cc1ccccc1)C(=O)NCC(=O)N1CCC[C@@]1([H])C(=O)N[C@@]([H])(CC(N)=O)C(=O)N[C@@]([H])(C(C)C)C(=O)N[C@@]([H])(CC(N)=O)C(=O)N1CCC[C@@]1([H])C(=O)N[C@@]([H])(CC1=C(CC)NC2=C1C=CC=C2)C(O)=O,,True,0.999979004124365,2.0995875634977068e-05,True,0.6686569419369462,0.33134305806305375
930,C1[C@@H]([C@H](O[C@@]12CN3C(=CC=C3C=O)CO2)CO)O,46849639.0,True,0.999997783857166,2.216142834021717e-06,True,0.5114479795976121,0.4885520204023879
932,C1[C@@H]([C@H](O[C@]12CN3C(=CC=C3C=O)CO2)CO)O,57387219.0,True,0.999997783857166,2.216142834021717e-06,True,0.5114479795976121,0.4885520204023879
962,CCCCC[C@@H]([C@H](/C=C/[C@H](CCCCCCCC(=O)O)O)O)O,9858729.0,True,0.6874440624498476,0.31255593755015243,True,0.6261095641275307,0.3738904358724693
1167,O1[C@H]([C@H](O)[C@](OC)(C[C@H]1O)C)C,10012435.0,True,0.9975901996084134,0.0024098003915865585,True,0.9572779008765984,0.042722099123401636
1230,O1[C@H]([C@H](O)[C@@H](OC)CC1O)C,10130117.0,True,0.7930275148380688,0.20697248516193123,True,0.9794338583723827,0.020566141627617274
1249,O1[C@@H](OCC2O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1C,101552.0,True,0.8639473934075197,0.1360526065924803,True,0.7315971654531742,0.2684028345468258
1333,O1[C@H]([C@H](O)[C@@H](O)C[C@H]1OCCCC)C,10330546.0,True,0.7364233069346804,0.2635766930653196,True,0.9811600640643894,0.01883993593561062
1348,O([C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,10356391.0,True,0.6131385428109388,0.3868614571890612,True,0.9970512981233505,0.0029487018766495288
1349,O([C@H]1OC[C@@H](O)[C@H](O)[C@H]1O)[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,10356392.0,True,0.6131385428109388,0.3868614571890612,True,0.9970512981233505,0.0029487018766495288
1361,O1[C@@H]([C@H](O)[C@H](O)[C@@H](O)[C@@H]1OCC(OC(=O)C)COC(=O)C)CO,10382476.0,True,0.6680534801166866,0.33194651988331336,True,0.7591826593681787,0.24081734063182125
1376,O1C(CC[C@H]2OCCC[C@@H]2O)COC1(C)C,10421380.0,True,0.9983390863784714,0.001660913621528648,True,0.9751569389631143,0.024843061036885716
1386,O1C([C@H](OC)[C@@H](O)[C@@H](O)C1O)(C)C,10442556.0,True,0.877985290711388,0.12201470928861202,True,0.9958901502448504,0.004109849755149608
1433,O1[C@H]([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)CC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,10545089.0,True,0.6271979575220071,0.37280204247799287,True,0.9864174292228398,0.013582570777160186
1460,O1C(OCCC1)C[C@@H](O)[C@H](O)[C@H](O)C,10608335.0,True,0.956286035516767,0.04371396448323295,True,0.9790682557931886,0.02093174420681143
1476,O1[C@H]([C@@H](O)[C@@H](O)[C@H](O)[C@H]1CO)CC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,10640870.0,True,0.6271979575220071,0.37280204247799287,True,0.9864174292228398,0.013582570777160186
